N (Matrix size);Time (sec)
100;0,0000063
200;0,0000013
300;0,0000021
400;0,0000024
500;0,0000036
600;0,0000040
700;0,0000053
800;0,0000036
900;0,0000059
1000;0,0000022
1100;0,0000023
1200;0,0000033
1300;0,0000019
1400;0,0000033
1500;0,0000048
1600;0,0000014
1700;0,0000022
1800;0,0000018
1900;0,0000032
2000;0,0000023
